,PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,SEASON
62,Andre Iguodala,SF,35,GSW,21,15,629,6.4,12.9,.494,2.2,6.2,.350,4.2,6.7,.628,1.1,2.9,.378,2.1,5.0,7.1,6.5,1.9,1.8,1.6,3.3,16.0,,120,112,2018-19
63,Jonas Jerebko,PF,31,GSW,16,0,121,4.9,17.0,.286,2.0,7.7,.263,2.8,9.3,.304,2.0,2.4,.833,6.1,7.7,13.8,4.9,0.4,0.8,0.8,3.6,13.8,,106,115,2018-19
64,Damian Jones,C,23,GSW,4,1,8,6.1,6.1,1.000,0.0,0.0,,6.1,6.1,1.000,6.1,12.2,.500,0.0,12.2,12.2,0.0,0.0,0.0,6.1,18.4,18.4,,88,113,2018-19
65,Shaun Livingston,PG,33,GSW,22,2,322,5.2,11.4,.453,0.0,0.3,.000,5.2,11.1,.466,3.2,3.8,.840,1.7,3.0,4.7,4.7,1.5,0.6,1.2,5.3,13.5,,116,115,2018-19
66,Kevon Looney,C,22,GSW,21,1,432,7.3,10.5,.688,0.0,0.0,,7.3,10.5,.688,2.4,3.3,.724,4.6,6.0,10.6,2.3,1.4,1.2,1.5,5.7,16.9,,139,113,2018-19
67,Alfonzo McKinnie,SF,26,GSW,22,1,235,5.4,12.3,.441,2.1,6.7,.313,3.3,5.6,.593,0.8,2.1,.400,3.5,6.9,10.4,0.8,0.4,0.2,1.2,6.7,13.7,,108,116,2018-19
68,Klay Thompson,SG,28,GSW,21,21,818,9.8,21.5,.456,4.2,9.5,.443,5.6,12.1,.465,2.2,2.5,.902,0.7,4.4,5.1,2.6,1.7,0.9,2.3,3.5,26.0,,109,114,2018-19
69,Clint Capela,C,24,HOU,11,11,331,6.9,12.3,.561,0.0,0.0,,6.9,12.3,.561,2.2,5.2,.429,6.1,10.8,16.9,2.4,0.4,1.8,2.4,3.9,16.0,,115,107,2018-19
70,Gary Clark,PF,24,HOU,2,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,12.4,12.4,0.0,0.0,0.0,0.0,0.0,0.0,,,110,2018-19
71,Kenneth Faried,C,29,HOU,6,0,56,8.0,11.5,.692,0.9,0.9,1.000,7.1,10.6,.667,4.4,5.3,.833,2.7,15.9,18.6,1.8,1.8,0.0,0.0,5.3,21.2,,166,103,2018-19
72,Eric Gordon,SG,30,HOU,11,11,410,8.1,18.1,.447,4.6,11.5,.400,3.5,6.6,.527,2.9,3.4,.857,0.6,2.7,3.3,1.7,0.8,1.3,3.3,2.7,23.7,,108,112,2018-19
73,Gerald Green,SG,33,HOU,11,0,97,6.1,20.4,.300,5.1,14.8,.345,1.0,5.6,.182,2.6,2.6,1.000,0.0,6.1,6.1,0.5,1.5,1.5,1.5,6.1,19.9,,92,108,2018-19
74,James Harden,PG,29,HOU,11,11,424,12.7,30.8,.413,5.6,16.0,.350,7.1,14.8,.480,9.6,11.4,.837,1.1,7.8,8.9,8.5,2.8,1.2,6.0,4.8,40.6,,111,105,2018-19
75,Isaiah Hartenstein,PF,20,HOU,2,0,2,49.5,49.5,1.000,0.0,0.0,,49.5,49.5,1.000,0.0,0.0,,24.8,0.0,24.8,0.0,0.0,0.0,0.0,24.8,99.0,,205,116,2018-19
76,Nenê Hilário,C,36,HOU,7,0,53,9.3,9.3,1.000,0.0,0.0,,9.3,9.3,1.000,6.5,8.4,.778,8.4,4.7,13.1,2.8,2.8,1.9,2.8,6.5,25.2,,170,106,2018-19
77,Danuel House,SF,25,HOU,7,0,141,3.9,13.0,.297,2.8,10.9,.258,1.1,2.1,.500,1.4,2.8,.500,0.7,7.0,7.7,0.4,1.1,0.7,1.4,3.9,11.9,,84,110,2018-19
78,Chris Paul,PG,33,HOU,11,11,397,8.2,18.5,.446,2.1,7.9,.270,6.1,10.6,.576,4.7,5.6,.844,1.7,7.0,8.7,7.5,3.0,0.9,4.6,4.5,23.3,,109,105,2018-19
79,Austin Rivers,SG,26,HOU,10,0,215,6.2,14.3,.435,3.7,8.1,.457,2.5,6.2,.407,0.9,1.4,.667,0.5,4.4,4.8,2.3,1.2,0.2,1.8,7.1,17.0,,110,112,2018-19
80,Iman Shumpert,SG,28,HOU,8,0,109,4.5,11.8,.385,3.6,10.0,.364,0.9,1.8,.500,0.5,1.8,.250,0.5,5.0,5.4,0.9,0.5,0.0,1.4,4.5,13.2,,100,113,2018-19
81,P.J. Tucker,PF,33,HOU,11,11,426,4.6,10.2,.455,3.0,6.6,.456,1.6,3.6,.452,2.2,2.7,.826,2.2,7.3,9.5,2.2,2.2,0.9,0.9,4.1,14.5,,133,107,2018-19
82,Bojan Bogdanović,SF,29,IND,4,4,148,8.5,21.4,.397,2.4,7.5,.318,6.1,14.0,.439,5.1,5.8,.882,1.0,6.8,7.8,3.7,2.7,0.0,2.0,2.4,24.5,,101,103,2018-19
83,Darren Collison,PG,31,IND,4,4,117,8.2,19.4,.422,1.7,4.7,.364,6.5,14.6,.441,2.6,2.6,1.000,1.7,3.4,5.2,6.9,0.9,0.0,4.3,4.7,20.7,,94,109,2018-19
84,Tyreke Evans,SG,29,IND,4,0,84,12.6,28.8,.438,6.6,12.0,.550,6.0,16.8,.357,4.8,8.4,.571,0.0,10.2,10.2,1.8,1.2,0.6,3.6,4.8,36.6,,97,104,2018-19
85,Aaron Holiday,PG,22,IND,3,0,13,7.8,19.4,.400,3.9,7.8,.500,3.9,11.6,.333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.9,11.6,19.4,,76,112,2018-19
86,Cory Joseph,PG,27,IND,4,0,85,7.1,14.2,.500,2.4,5.3,.444,4.7,8.9,.533,1.2,1.2,1.000,0.6,3.6,4.1,2.4,2.4,0.0,0.0,4.1,17.8,,123,106,2018-19
87,T.J. Leaf,PF,21,IND,1,0,10,0.0,15.1,.000,0.0,5.0,.000,0.0,10.1,.000,10.1,10.1,1.000,5.0,10.1,15.1,0.0,0.0,0.0,0.0,0.0,10.1,,73,108,2018-19
