,PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,SEASON
88,Wesley Matthews,SG,32,IND,4,4,119,3.8,12.7,.300,3.0,8.9,.333,0.8,3.8,.222,1.3,1.3,1.000,0.0,4.2,4.2,3.4,1.3,0.4,3.4,2.5,11.9,,77,107,2018-19
89,Doug McDermott,SF,27,IND,3,0,29,3.5,17.4,.200,0.0,12.2,.000,3.5,5.2,.667,3.5,6.9,.500,5.2,3.5,8.7,6.9,0.0,1.7,0.0,3.5,10.4,,81,109,2018-19
90,Kyle O'Quinn,C,28,IND,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,25.2,0.0,0.0,,0,113,2018-19
91,Domantas Sabonis,C,22,IND,4,0,96,6.3,15.2,.414,0.5,2.1,.250,5.8,13.1,.440,4.7,7.3,.643,3.7,11.5,15.2,8.4,1.6,0.5,2.6,6.3,17.8,,106,103,2018-19
92,Edmond Sumner,PG,23,IND,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,50.4,50.4,0.0,0.0,0.0,0.0,0.0,0.0,,,87,2018-19
93,Myles Turner,C,22,IND,4,4,126,5.6,14.0,.400,1.2,5.6,.214,4.4,8.4,.524,3.2,5.2,.615,1.6,8.4,10.0,2.4,0.0,2.8,1.2,5.6,15.6,,98,105,2018-19
94,Thaddeus Young,PF,30,IND,4,4,130,7.0,16.3,.429,0.8,3.1,.250,6.2,13.2,.471,1.6,2.7,.571,3.5,7.4,10.9,5.8,4.3,1.2,1.9,3.9,16.3,,101,98,2018-19
95,Patrick Beverley,PG,30,LAC,6,6,195,4.8,11.2,.426,3.1,7.2,.433,1.7,4.1,.412,1.4,1.9,.750,1.9,9.6,11.5,6.7,1.4,1.4,2.4,5.0,14.1,,116,119,2018-19
96,Wilson Chandler,SF,31,LAC,4,0,52,4.5,14.4,.313,0.9,9.0,.100,3.6,5.4,.667,3.6,3.6,1.000,0.0,5.4,5.4,1.8,1.8,0.0,2.7,6.3,13.5,,80,122,2018-19
97,Danilo Gallinari,SF,30,LAC,6,6,201,9.1,25.8,.351,3.0,10.0,.302,6.0,15.8,.382,6.5,7.7,.848,2.1,6.5,8.6,3.7,1.9,0.2,2.6,3.3,27.6,,99,121,2018-19
98,Shai Gilgeous-Alexander,PG,20,LAC,6,6,173,7.6,16.2,.467,2.4,4.9,.500,5.1,11.3,.452,4.6,5.4,.850,1.1,3.2,4.3,5.1,1.6,1.3,1.3,4.6,22.1,,123,122,2018-19
99,JaMychal Green,PF,28,LAC,6,3,141,7.6,14.2,.535,4.0,7.6,.522,3.6,6.6,.550,2.6,3.3,.800,2.0,8.6,10.6,1.7,1.3,0.0,3.6,7.3,21.8,,112,121,2018-19
100,Montrezl Harrell,C,25,LAC,6,0,158,13.6,18.6,.730,0.0,0.3,.000,13.6,18.3,.742,5.3,7.7,.692,3.5,6.2,9.7,3.8,0.9,1.2,2.4,5.6,32.5,,138,122,2018-19
101,Jerome Robinson,SG,21,LAC,5,0,46,5.1,14.2,.357,3.0,6.1,.500,2.0,8.1,.250,5.1,5.1,1.000,2.0,4.1,6.1,7.1,2.0,0.0,1.0,4.1,18.3,,127,122,2018-19
